anunciante;titulo;municipio;precio_eur;precio_anterior_eur;descuento_pct;superficie_m2;tipo_suelo;referencia_catastral;notas;vendido_con_descuento;es_urbano_o_urbanizable;precio_m2
INMOVERSE;Calle Albert Einstein, Peñacastillo - Nuevamontaña, Santander;Santander;2300000;;;9212.0;No urbanizable;;;False;False;249.67433782023448
Northome Cantabria;Calle Inés Diego de Noval, Cueto, Santander;Santander;450000;;;1132.0;Urbano (solar);;Catalogado N3A;False;True;397.52650176678446
Esparta Inmobiliaria;Avenida Libertad, Mompia, Santa Cruz de Bezana;Santa Cruz de Bezana;1435000;;;30859.0;Urbanizable;;9 parcelas;False;True;46.50183090832496
;Las Escuelas, Igollo, Camargo;Camargo;90000;;;1666.0;Urbano (solar);;Dividido en 2 parcelas;False;True;54.021608643457384
;eri22, Barcenilla - Quijano, Piélagos;Piélagos;22000;;;1300.0;No urbanizable;;Texto menciona 1347 m² (inconsistencia);False;False;16.923076923076923
;eri20, Barcenilla - Quijano, Piélagos;Piélagos;20000;;;1000.0;No urbanizable;;Texto menciona 1051 m² (inconsistencia);False;False;20.0
;Barrio el Perujo, 1, Arce, Piélagos;Piélagos;160000;;;1236.0;Urbanizable;;Texto dice 'Suelo Urbano' (contradicción con 'Urbanizable' del encabezado);False;True;129.44983818770226
;Barrio las Canteras, 2, Igollo, Camargo;Camargo;130000;;;1435.0;Urbano (solar);;Licencia urbanística (Expediente LIC***/2022) (según texto);False;True;90.59233449477352
LAE HOMES - Santander;Barrio el Perujo, Arce, Piélagos;Piélagos;120000;;;1350.0;Urbano (solar);;Licencia + proyecto (según texto);False;True;88.88888888888889
Bankcasas.com;Monte, Santander;Santander;69000;92800.0;26.0;2087.0;Urbanizable;;;True;True;33.06181121226641
A3B Gestión Inmobiliaria;Calle Corceño, Alisal - Cazoña - San Román, Santander;Santander;550000;;;1430.0;Urbano (solar);;Proyecto + licencia para 3 chalets (según texto);False;True;384.61538461538464
BEST HOUSE TORRELAVEGA;Suances;Suances;560000;;;1000.0;Urbanizable;;Promoción 9 viviendas;False;True;560.0
Oyambre Servicios Inmobiliarios;Renedo, Piélagos;Piélagos;142500;;;4954.0;Urbanizable;;Hasta 8 viviendas (según texto);False;True;28.76463463867582
Oyambre Servicios Inmobiliarios;Renedo, Piélagos;Piélagos;46900;;;1404.0;Urbanizable;;Texto menciona 1.215,5 m² (inconsistencia);False;True;33.40455840455841
Bankcasas.com;Monte, Santander;Santander;471600;;;11934.0;Urbanizable;;Incluye múltiples referencias catastrales (lista incompleta en el texto pegado);False;True;39.51734539969834
;Solarana, Arce, Piélagos;Piélagos;135000;;;1020.0;Urbano (solar);;Licencia concedida (según texto);False;True;132.35294117647058
Inmobiliaria montaña;Barrio de Santiago, 31 a, Revilla, Camargo;Camargo;180000;;;16139.0;Urbanizable;;Texto dice Suelo No Urbanizable Ordinario (contradicción con 'Urbanizable' del encabezado);False;True;11.153107379639383
Oyambre Servicios Inmobiliarios;Calle Vía, 29 a, Suances;Suances;362000;;;7498.0;Urbano (solar);;;False;True;48.2795412109896
ATRIO Servicios Inmobiliarios;Avenida Juan de Herrera, 1, Maoño, Santa Cruz de Bezana;Santa Cruz de Bezana;35000;;;997.0;No urbanizable;;;False;False;35.10531594784353
Inmobiliaria Suances;La Castañera, 30, Santillana del Mar;Santillana del Mar;75000;;;6101.0;Urbanizable;;Texto mezcla: 'parcela urbana' + uso industrial;False;True;12.293066710375347
Oyambre Servicios Inmobiliarios;Lugar Barrio Rinconeda, 37 a, Polanco;Polanco;643900;;;5109.0;Urbano (solar);;Producto bancario;False;True;126.03249168134664
Bankcasas.com;Soto de la Marina, Santa Cruz de Bezana;Santa Cruz de Bezana;2900000;;;9338.0;Urbanizable;;~33% del Sector 15;False;True;310.55900621118013
Inmobiliaria Suances;Carretera Avios, 23732, Suances;Suances;120000;;;3200.0;Urbanizable;;Autorización CROTU (según texto);False;True;37.5
eXp Realty España;Calle Laredo, Puerto Chico, Santander;Santander;76923;;;1108.0;Urbanizable;;Texto dice terreno rústico Playa del Regatón (posible incoherencia ubicación);False;True;69.42509025270758
Oyambre Servicios Inmobiliarios;Calle Albericia, 20, Alisal - Cazoña - San Román, Santander;Santander;850000;;;4869.0;Urbano (solar);;Texto menciona 7 suelos;False;True;174.57383446292874
;Calle del Monte, General Dávila, Santander;Santander;28000;;;57.0;Urbano (solar);;Edificabilidad estimada 49,91 m² (según texto);False;True;491.2280701754386
;Calle Resconorio, Monte, Santander;Santander;92800;;;2205.0;Urbano (solar);;Texto lo llama 'suelo urbanizable' (contradicción con 'Urbano (solar)' del encabezado);False;True;42.08616780045352
;Barrio Monte-Corbanera, Monte, Santander;Santander;15000;;;292.0;Urbanizable;;Aparece duplicado literal (2 veces en el texto);False;True;51.36986301369863
;Barrio Monte-Corbanera, Monte, Santander;Santander;15000;;;292.0;Urbanizable;;Duplicado del id 150 (mismo bloque repetido);False;True;51.36986301369863
Domus RS;Barrio Rinconeda, 1609, Polanco;Polanco;545200;;;545.0;Urbano (solar);6435716VP1063S0001MJ;'y colindantes' (según texto);False;True;1000.3669724770642
ALFAPLAYAS;Calle Aviche, Monte, Santander;Santander;200000;;;1450.0;No urbanizable;;;False;False;137.93103448275863
;Barrio el Perujo, Arce, Piélagos;Piélagos;125000;;;800.0;Urbano (solar);;Segregación (según texto);False;True;156.25
Grupo Inmobiliario Tribeca;Arce, Piélagos;Piélagos;400000;;;6000.0;Urbanizable;;Aprobado CROTU vivienda unifamiliar (según texto);False;True;66.66666666666667
ALFAPLAYAS;Calle el Castro, Alisal - Cazoña - San Román, Santander;Santander;169000;;;1210.0;Urbanizable;;Edificabilidad 602,76 (según texto);False;True;139.6694214876033
Inmobiliaria Blanco;Barrio la Ermita, 42, Polanco;Polanco;660000;;;4367.0;Urbano (solar);;Proyecto 13 viviendas en Rinconeda (según texto);False;True;151.13350125944584
AGL HOMES;Calle Repuente, 14, Monte, Santander;Santander;420000;;;1295.0;Urbano (solar);;;False;True;324.3243243243243
Inmobiliaria montaña;Calle Román Rivas, 14, Maliaño, Camargo;Camargo;200000;;;743.0;;;Dos parcelas de 743 m² cada una;False;False;269.17900403768505
Inmobiliaria montaña;Avenida de Santander, 72, Herrera, Camargo;Camargo;255000;;;1429.0;Urbano (solar);;Proyecto visado/pagado;False;True;178.44646606018193
Inmobiliaria cantabria;Barrio San Julián, 34, Zurita, Piélagos;Piélagos;212000;;;10910.0;Urbano (solar);;Parte rústica + urbana;False;True;19.431714023831347
