titulo;municipio;precio_eur;superficie_m2;tipo_suelo;vendido_con_descuento;es_urbano_o_urbanizable;precio_m2
Suances, Suances;Suances;60000;3200.0;Urbanizable;False;True;18.75
Barrio del Cabido, Igollo, Camargo;Camargo;155000;2500.0;Urbano (solar);False;True;62.0
Renedo, Piélagos;Piélagos;88000;555.0;Urbano (solar);False;True;158.55855855855856
Calle Bajada del Caleruco, Los Castros, Santander;Santander;150000;12431.0;No urbanizable;False;False;12.066607674362482
Barrio Cianca, Parbayón, Piélagos;Piélagos;56000;7000.0;No urbanizable;False;False;8.0
Santillana del Mar;Santillana del Mar;45000;13667.0;No urbanizable;False;False;3.292602619448306
Alto Maliaño, Camargo;Camargo;160000;572.0;Urbano (solar);False;True;279.72027972027973
Diseminado Rinconeda, Polanco;Polanco;78000;2963.0;Urbanizable;False;True;26.32467094161323
Callejón Barrio la, Boo, Piélagos;Piélagos;99900;1200.0;Urbano (solar);False;True;83.25
Valmoreda, Barcenilla - Quijano, Piélagos;Piélagos;130000;3398.0;Urbanizable;False;True;38.257798705120656
Barrio Sta Cruz, Escobedo, Camargo;Camargo;100000;10480.0;No urbanizable;False;False;9.541984732824428
Barrio el Bardalon, Revilla, Camargo;Camargo;20000;440.0;No urbanizable;False;False;45.45454545454545
Barrio Oruña, Piélagos;Piélagos;50000;1594.0;Urbanizable;False;True;31.36762860727729
Soto de la Marina, Santa Cruz de Bezana;Santa Cruz de Bezana;130000;858.0;Urbano (solar);False;True;151.5151515151515
Carretera Ongayo, Suances;Suances;59000;5200.0;No urbanizable;False;False;11.346153846153848
Barrio Rumoroso, Polanco;Polanco;45000;8517.0;No urbanizable;False;False;5.2835505459668894
Calle Bolado, Monte, Santander;Santander;128700;549.0;Urbano (solar);False;True;234.4262295081967
Barrio Monsenor, Arce, Piélagos;Piélagos;195000;11854.0;Urbano (solar);False;True;16.450143411506666
Calle Bolado, Monte, Santander;Santander;220000;684.0;Urbano (solar);False;True;321.6374269005848
Barrio las Cuartas, Renedo, Piélagos;Piélagos;149000;607.0;Urbano (solar);False;True;245.4695222405272
Ca-409, Penagos;Penagos;120000;4877.0;No urbanizable;False;False;24.605290137379537
Barrio el Cagigal, Ribamontán al Monte;Ribamontán al Monte;195000;4211.0;Urbano (solar);False;True;46.30729042982664
Barrio V Peña, Mazcuerras;Mazcuerras;179000;5834.0;Urbano (solar);False;True;30.68220774768598
Barrio Ibio, Mazcuerras;Mazcuerras;163500;2680.0;Urbano (solar);False;True;61.007462686567166
Barrio Pontejos, Marina de Cudeyo;Marina de Cudeyo;120000;1589.0;Urbanizable;False;True;75.51919446192574
Barrio Pontejos, Marina de Cudeyo;Marina de Cudeyo;220000;4087.0;Urbanizable;False;True;53.82921458282359
Barrio Pontejos, Marina de Cudeyo;Marina de Cudeyo;145000;2934.0;Urbanizable;False;True;49.42058623040218
Barrio Valles, Reocín;Reocín;280000;2949.0;Urbanizable;False;True;94.94743981010512
Valles, Reocín;Reocín;55000;400.0;Urbano (solar);False;True;137.5
Barrio Obregón, Villaescusa;Villaescusa;189000;1874.0;Urbano (solar);False;True;100.8537886872999
Carretera Nacional 634, Castañeda;Castañeda;85000;4779.0;Urbanizable;False;True;17.786147729650555
San Salvador, Medio Cudeyo;Medio Cudeyo;218000;2180.0;Urbano (solar);False;True;100.0
Barrio Valles, Reocín;Reocín;115000;2603.0;Urbano (solar);False;True;44.17979254706108
Barrio la Virgen, Udías;Udías;75000;218.0;Urbano (solar);False;True;344.0366972477064
Calle Helguera, Penagos;Penagos;125000;1646.0;Urbano (solar);True;True;75.94167679222357
Barrio la Iglesia, Ribamontán al Monte;Ribamontán al Monte;150000;14764.0;Urbanizable;False;True;10.159848279599023
Cabezón de la Sal;Cabezón de la Sal;59000;304.0;Urbano (solar);False;True;194.07894736842104
Ribamontán al Monte;Ribamontán al Monte;120000;8126.0;No urbanizable;False;False;14.767413241447208
Urbanización la Cabaña, Ribamontán al Monte;Ribamontán al Monte;120000;1184.0;Urbano (solar);False;True;101.35135135135135
Barrio Cuatro Caminos, Marina de Cudeyo;Marina de Cudeyo;110000;714.0;Urbano (solar);False;True;154.06162464985994
Calle Santander, Los Corrales de Buelna;Los Corrales de Buelna;140000;1144.0;Urbano (solar);False;True;122.37762237762236
Ca-142, Santa María de Cayón;Santa María de Cayón;130000;1635.0;Urbano (solar);False;True;79.51070336391437
Barrio Las Tejas, Santa María de Cayón;Santa María de Cayón;50000;2250.0;Urbanizable;False;True;22.22222222222222
Barrio Puente San Miguel, Villapresente;Reocín;99000;2224.0;Urbanizable;False;True;44.51438848920864
Castañeda;Castañeda;250000;1531.0;Urbano (solar);False;True;163.29196603527106
Estradas, Ribamontán al Monte;Ribamontán al Monte;80000;1888.0;Urbanizable;False;True;42.3728813559322
Poblado Riaño, Mazcuerras;Mazcuerras;212900;3804.0;Urbano (solar);False;True;55.96740273396425
Avenida Solvay, Torrelavega;Torrelavega;114000;1148.0;Urbano (solar);False;True;99.30313588850174
Barrio Casuso, Alfoz de Lloredo;Alfoz de Lloredo;45000;8846.0;No urbanizable;False;False;5.087044992086819
Riva Redonda, Reocín;Reocín;75000;3314.0;Urbano (solar);False;True;22.631261315630656
Calle La Richuela, Penagos;Penagos;51400;668.0;Urbano (solar);False;True;76.94610778443113
Variés, Udías;Udías;160000;5932.0;Urbanizable;False;True;26.972353337828725
Vía, Tanos, Torrelavega;Torrelavega;149000;3062.0;Urbanizable;False;True;48.66100587851078
Ca-141, Marina de Cudeyo;Marina de Cudeyo;137000;6352.0;Urbano (solar);False;True;21.56801007556675
Barrio Puente San Miguel;Reocín;149000;1683.0;Urbano (solar);False;True;88.5323826500297
Barrio la Penilla, Santa María de Cayón;Santa María de Cayón;180000;2300.0;Urbano (solar);False;True;78.26086956521739
Camino San Pedruco, Bareyo;Bareyo;24000;3766.0;No urbanizable;False;False;6.372809346787042
Barrio el Llano, Udías;Udías;95000;15620.0;Urbano (solar);False;True;6.081946222791293
Hoz de Anero, Ribamontán al Monte;Ribamontán al Monte;90000;4700.0;Urbanizable;False;True;19.148936170212767
Barrio Estradas, Ribamontán al Monte;Ribamontán al Monte;85000;3700.0;Urbanizable;False;True;22.97297297297297
Puente San Miguel;Reocín;170000;1683.0;Urbano (solar);False;True;101.010101010101
Sierrapando, Torrelavega;Torrelavega;180000;6120.0;No urbanizable;False;False;29.41176470588235
La Moya, Mazcuerras;Mazcuerras;120000;8614.0;Urbanizable;False;True;13.930810308799629
Las Huertas de los Viejos, Mazcuerras;Mazcuerras;240000;2953.0;Urbano (solar);False;True;81.27328140873688
Entrambasaguas;Entrambasaguas;130000;2100.0;Urbano (solar);False;True;61.90476190476191
Alfoz de Lloredo;Alfoz de Lloredo;35000;3456.0;No urbanizable;False;False;10.127314814814817
Mazcuerras;Mazcuerras;120000;8614.0;Urbanizable;False;True;13.930810308799629
Centro, Torrelavega;Torrelavega;19000;113.0;Urbano (solar);False;True;168.141592920354
Vía, Alfoz de Lloredo;Alfoz de Lloredo;23600;13332.0;No urbanizable;False;False;1.7701770177017702
Barrio Caranceja, Reocín;Reocín;53900;400.0;Urbanizable;True;True;134.75
Ribamontán al Monte;Ribamontán al Monte;91000;427.0;Urbano (solar);False;True;213.11475409836063
Cartes;Cartes;39900;225.0;Urbano (solar);False;True;177.33333333333334
Treslama, Mazcuerras;Mazcuerras;280600;4317.0;Urbano (solar);False;True;64.9988417882789
Barrio el Llano, Udías;Udías;45000;378.0;Urbano (solar);False;True;119.04761904761904
Barrio Padierne, Entrambasaguas;Entrambasaguas;100000;2073.0;Urbano (solar);False;True;48.2392667631452
Calle la Fuente, Cartes;Cartes;65000;2324.0;Urbano (solar);False;True;27.96901893287436
Barrio Golbardo, Reocín;Reocín;130000;5289.0;Urbano (solar);False;True;24.579315560597465
Mazcuerras;Mazcuerras;125000;3922.0;Urbano (solar);False;True;31.87149413564508
Cartes;Cartes;93000;946.0;Urbano (solar);False;True;98.30866807610994
Cerezo - Aspla - Torres, Torrelavega;Torrelavega;97000;5123.0;No urbanizable;False;False;18.93421823150498
Reocín;Reocín;150000;6195.0;No urbanizable;False;False;24.213075060532688
La Ventuca, Comillas;Comillas;98000;2078.0;No urbanizable;False;False;47.16073147256978
Reocín;Reocín;49000;564.0;No urbanizable;False;False;86.87943262411348
Reocín;Reocín;45000;711.0;No urbanizable;False;False;63.29113924050633
Villanueva de la Peña, Mazcuerras;Mazcuerras;95000;1201.0;Urbano (solar);False;True;79.1007493755204
Reocín;Reocín;69000;3016.0;No urbanizable;False;False;22.87798408488064
La Illa, Mazcuerras;Mazcuerras;24000;3937.0;No urbanizable;False;False;6.096012192024384
Ontoria, Cabezón de la Sal;Cabezón de la Sal;85000;3502.0;Urbano (solar);False;True;24.271844660194176
Av. Constitución, Cabezón de la Sal;Cabezón de la Sal;185000;1314.0;Urbano (solar);False;True;140.79147640791476
Barrio Liaño, Villaescusa;Villaescusa;60000;3949.0;Urbano (solar);False;True;15.193719929095971
Hoznayo;Entrambasaguas;75000;800.0;Urbano (solar);False;True;93.75
Santa María de Cayón;Santa María de Cayón;43000;11800.0;No urbanizable;False;False;3.6440677966101696
Penagos;Penagos;99890;10704.0;No urbanizable;False;False;9.332025411061286
Ganzo, Torrelavega;Torrelavega;97000;5123.0;Urbanizable;False;True;18.93421823150498
Hoz de Anero;Ribamontán al Monte;80000;1888.0;Urbanizable;False;True;42.3728813559322
Santa María de Cayón;Santa María de Cayón;12000;1881.0;No urbanizable;False;False;6.379585326953748
Villaverde de Pontones;Ribamontán al Monte;150000;1395.0;Urbano (solar);False;True;107.52688172043013
Presmanes, Marina de Cudeyo;Marina de Cudeyo;100000;7855.0;No urbanizable;False;False;12.73074474856779
La Cavada, Marina de Cudeyo;Marina de Cudeyo;210000;4128.0;Urbano (solar);True;True;50.872093023255815
Ribamontán al Monte;Ribamontán al Monte;125000;15500.0;Urbanizable;False;True;8.064516129032258
Ibio, Mazcuerras;Mazcuerras;130000;7132.0;Urbanizable;False;True;18.227706113292204
Vargas;Puente Viesgo;90000;281.0;Industrial;False;False;320.2846975088968
Solares;Medio Cudeyo;180000;1093.0;Urbano (solar);False;True;164.6843549862763
