precio,superficie_construida_m2,numero_dormitorios,numero_banos,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,latitud,longitud,provincia,distrito,tipologia,subtipologia,precio_m2_raw,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km,es_exterior_piso,tiene_ascensor_piso,planta_num,log_precio,log_superficie_construida_m2,precio_m2,precio_m2_municipio_media,ratio_dormitorios_superficie,ratio_banos_superficie,interaccion_superficie_banos,interaccion_planta_sin_ascensor_piso,latitud_2,longitud_2,interaccion_latitud_longitud,distancia_centro_municipio_km,score_cercania_servicios,superficie_construida_m2_2,numero_banos_2,numero_dormitorios_2,tipologia_unificada_piso,tipologia_unificada_unifamiliar,municipio_Ampuero,municipio_Barcena de Cicero,municipio_Camargo,municipio_Castro-Urdiales,municipio_Colindres,municipio_Cudon,municipio_El Astillero,municipio_Guarnizo,municipio_Laredo,municipio_Liendo,municipio_Limpias,municipio_Marina de Cudeyo,municipio_Miengo,municipio_Mogro,municipio_Noja,municipio_Ortuella,municipio_Piélagos,municipio_Polanco,municipio_Ribamontan al Mar,municipio_Ribamontan al Monte,municipio_Santa Cruz de Bezana,municipio_Santander,municipio_Santillana del Mar,municipio_Santoña,municipio_Santurtzi,municipio_Suances,municipio_Torrelavega,municipio_Villaescusa,municipio_Viveda,municipio_Voto,municipio_otro
1175000.0,185.0,3,3,10.0,1,1,1,0,43.4606464,-3.8218593,Cantabria,Numancia - San Fernando,flat,penthouse,6351.0,2.419,0.133,0.087,1,1,10,13.976778705560397,5.220355825078325,6351.351351351352,3257.5921884290465,0.016216216216216217,0.016216216216216217,555.0,0,1888.8277855058332,14.606608508996489,-166.10047562785152,0.15897359057447577,0.6983529722623111,34225.0,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
270000.0,81.0,3,1,3.0,1,1,0,0,43.4513652,-3.82346,Cantabria,Castilla - Hermida,flat,,3333.0,3.303,0.376,0.277,1,1,3,12.506177237980511,4.394449154672439,3333.3333333333335,3257.5921884290465,0.037037037037037035,0.012345679012345678,81.0,0,1888.0211377437709,14.618846371599998,-166.13455678759198,1.1983884165302283,0.5807418483797003,6561.0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
190000.0,65.0,2,1,3.0,1,0,0,0,43.4246141,-3.8569217,Cantabria,Muriedas,flat,,2923.0,3.779,0.184,0.152,1,0,3,12.154779351142622,4.174387269895637,2923.076923076923,2186.683851919792,0.03076923076923077,0.015384615384615385,65.0,3,1885.6971097339188,14.87584499993089,-167.48533643641596,0.974629659959302,0.6406329823231894,4225.0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134000.0,110.0,4,3,2.0,1,0,0,0,43.4608898,-3.8487758,Cantabria,Alisal - Cazoña - San Román,flat,,1218.0,2.178,0.051,0.08,1,0,2,11.805595078933049,4.700480365792417,1218.1818181818182,3257.5921884290465,0.03636363636363636,0.02727272727272727,330.0,2,1888.8489422077437,14.813075158665638,-167.27122090870682,2.2112340609025547,0.7306880073673744,12100.0,9,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
219000.0,64.0,2,1,4.0,1,1,0,0,43.459956,-3.835437,Cantabria,Alisal - Cazoña - San Román,flat,,3422.0,2.15,0.191,0.377,1,1,4,12.296827008798637,4.1588830833596715,3421.875,3257.5921884290465,0.03125,0.015625,64.0,0,1888.7677755219358,14.710576980969002,-166.687923260772,1.1544827514980451,0.6277690975012389,4096.0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
280000.0,308.0,5,2,,0,0,0,0,43.4408676,-3.9077364,Cantabria,Bezana,countryHouse,casaDePueblo,909.0,3.532,0.485,0.293,0,0,0,12.542544882151388,5.730099782973574,909.0909090909091,2479.3907313148643,0.016233766233766232,0.006493506493506494,616.0,0,1887.1089778407295,15.270403771884961,-169.75545956810063,1.441919592256061,0.5558163372082984,94864.0,4,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
385000.0,104.0,3,2,7.0,1,1,1,0,43.4605962,-3.8252331,Cantabria,Cuatro Caminos,flat,,3702.0,2.304,0.119,0.22,1,1,7,12.86099861326992,4.6443908991413725,3701.923076923077,3257.5921884290465,0.028846153846153848,0.019230769230769232,208.0,0,1888.8234220594543,14.632408269335611,-166.24691112997422,0.34684733628577,0.6719968728517424,10816.0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
395000.0,86.0,3,2,,1,1,1,0,43.4546348,-3.8166627,Cantabria,Castilla - Hermida,flat,,4593.0,2.66,0.094,0.068,1,1,0,12.886641043883259,4.454347296253507,4593.023255813953,3257.5921884290465,0.03488372093023256,0.023255813953488372,172.0,0,1888.3052856013712,14.56691416557129,-165.85168378328197,0.9087722398360697,0.7078768047268512,7396.0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
122000.0,55.0,1,1,2.0,1,1,0,0,43.4497254,-3.8495963,Cantabria,Peñacastillo - Nuevamontaña,flat,,2218.0,3.207,0.605,0.218,1,1,2,11.711776323715394,4.007333185232471,2218.181818181818,3257.5921884290465,0.01818181818181818,0.01818181818181818,55.0,0,1887.878637335405,14.81939167297369,-167.263902135856,2.654461675184392,0.5605900316241819,3025.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
166150.0,66.0,2,1,1.0,0,0,0,0,43.4529382,-3.8242627,Cantabria,Castilla - Hermida,flat,,2517.0,3.129,0.293,0.092,0,0,1,12.020646273782742,4.189654742026425,2517.4242424242425,3257.5921884290465,0.030303030303030304,0.015151515151515152,66.0,1,1888.1578382130192,14.624985198611288,-166.1754507636651,1.0377654477751557,0.6437785042684236,4356.0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
