titulo;municipio;precio_eur;superficie_m2;tipo_suelo;vendido_con_descuento;es_urbano_o_urbanizable;precio_m2
Calle el Progreso, Miengo;Miengo;565000;23741.0;Urbano (solar);False;True;23.79849206014911
Peñacastillo, Santander;Santander;450000;1634.0;Urbano (solar);False;True;275.3977968176255
Herrera, Camargo;Camargo;150000;701.0;Urbanizable;False;True;213.98002853067047
Barrio Cianca, Parbayón;Piélagos;121000;13463.0;No urbanizable;False;False;8.98759563247419
Miengo;Miengo;179000;3421.0;Urbano (solar);False;True;52.323881905875474
Parbayón, Piélagos;Piélagos;310000;1307.0;Industrial;False;False;237.18439173680184
Virgen del Mar, Santander;Santander;7000;20.0;No urbanizable;False;False;350.0
Calle Ferrocarril, Bezana;Santa Cruz de Bezana;555000;796.0;Urbano (solar);False;True;697.2361809045226
Calle Vicente Aleixandre, Santander;Santander;775000;1741.0;Urbano (solar);False;True;445.1464675473866
Los Castros, Santander;Santander;253000;1050.0;No urbanizable;False;False;240.95238095238096
Parbayón, Piélagos;Piélagos;32000;3551.0;No urbanizable;False;False;9.011546043368066
Arce, Piélagos;Piélagos;250000;5160.0;Urbano (solar);False;True;48.44961240310077
Suances;Suances;84700;1290.0;Urbanizable;False;True;65.65891472868218
Boo, Piélagos;Piélagos;145000;5612.0;Urbanizable;False;True;25.837491090520313
Mompia, Santa Cruz de Bezana;Santa Cruz de Bezana;1435000;27195.0;Urbano (solar);False;True;52.76705276705277
Suances;Suances;315000;6500.0;Urbanizable;False;True;48.46153846153846
Miengo;Miengo;81000;2383.0;Urbanizable;False;True;33.99076793957197
Igollo, Camargo;Camargo;65000;523.0;Urbano (solar);False;True;124.282982791587
Maliaño, Camargo;Camargo;60000;361.0;Urbano (solar);False;True;166.2049861495845
Zurita, Piélagos;Piélagos;80000;1911.0;Urbano (solar);False;True;41.86289900575615
Rumoroso, Polanco;Polanco;99000;681.0;Urbanizable;False;True;145.37444933920705
Bezana, Santa Cruz de Bezana;Santa Cruz de Bezana;165000;8940.0;Urbanizable;False;True;18.456375838926174
Calle Repuente, Santander;Santander;114000;255.0;Urbano (solar);False;True;447.05882352941177
Zurita, Piélagos;Piélagos;75000;1467.0;Urbano (solar);False;True;51.124744376278116
Miengo;Miengo;225000;17740.0;Urbano (solar);False;True;12.683201803833146
