id_anuncio;fuente;tipo_inmueble;subtipo;direccion_texto;barrio_zona;municipio;precio_eur;precio_anterior_eur;descuento_pct;garaje_incluido;habitaciones;superficie_m2;planta;exterior;ascensor;obra_nueva_flag
142;Bahía Home;piso;;Calle Lope de Vega, 18;Puerto Chico;Santander;550000;;;desconocido;3;113;4;sí;sí;0
143;Inmobiliaria Cidenar;piso;;Calle las Rederas;Castilla - Hermida;Santander;228000;;;desconocido;3;73;4;desconocido;sí;0
144;Bahía Home;casa;chalét independiente;Calle El Millajo, 1469;;Miengo;698000;;;sí;5;244;;desconocido;desconocido;0
145;Inmobiliaria Eurocasa;piso;;Calle Vargas;Cuatro Caminos;Santander;320000;;;desconocido;3;85;4;sí;sí;0
146;desconocido;piso;;Calle del Voluntariado, 6;Centro;Castro-Urdiales;297000;;;sí;2;80;1;sí;sí;0
147;Inmobiliaria Uranga;piso;;Calle República de Colombia;Zona Playa;Laredo;240000;250000;4;desconocido;2;60;15;sí;sí;0
148;Engel & Völkers Santander;piso;;Calle Castelar;Puerto Chico;Santander;1700000;;;sí;5;235;;sí;sí;0
149;Reines Grupo Inmobiliario Santander;piso;;Calle Joaquín Bustamante, 6;Alisal - Cazoña - San Román;Santander;298000;;;sí;3;120;2;sí;no;0
150;MiPiso.com;casa;chalét pareado;Calle República de Panamá, 26;El Puntal;Laredo;550000;;;sí;4;262;;desconocido;desconocido;0
151;Engel & Völkers Santander;piso;;Calle Real Racing Club;El Sardinero;Santander;790000;;;sí;3;176;;sí;sí;0
152;FLAT INMOBILIARIA;piso;;Calle Bajada del Chorrillo 3;Centro;Castro-Urdiales;299000;;;desconocido;3;85;3;sí;sí;0
153;FLAT INMOBILIARIA;piso;;Calle de la Ronda 18;Centro;Castro-Urdiales;295000;;;desconocido;3;104;1;sí;sí;0
154;Inmonojasol s.l;piso;dúplex;Avenida Ris;Ris;Noja;185000;;;sí;2;62;2;sí;no;0
155;Inmonojasol s.l;piso;;Calle Los Pinares;Ris;Noja;243000;;;sí;2;60;bajo;sí;sí;0
156;Gestion inmobiliaria Victoria;piso;;Isaac Castillo;Mioño-Santullán;Castro-Urdiales;180000;;;desconocido;4;116;1;sí;no;0
157;wejaus;piso;apartamento;Calle Alta 24;Numancia - San Fernando;Santander;185000;;;desconocido;1;56;1;sí;no;0
158;altamira21.com;piso;;Calle San Sebastian;General Dávila;Santander;209000;215000;3;desconocido;2;55;3;sí;no;0
159;Inmobiliarias San Fernando;piso;;Calle Poeta Gerardo Diego;Alisal - Cazoña - San Román;Santander;350000;;;sí;3;105;1;sí;sí;0
160;CHOMON (Margen Izquierda);piso;;Calle Miguel de Cervantes;Brazomar;Castro-Urdiales;269000;;;sí;2;65;2;sí;sí;0
161;altamira21.com;piso;;Via Cornelia 28;General Dávila;Santander;210000;;;desconocido;3;74;2;sí;no;0
162;Gestion inmobiliaria Victoria;dúplex;;Barrio Mioño;Mioño-Santullán;Castro-Urdiales;260000;;;desconocido;3;124;2;sí;no;0
163;Pereda 36;casa;chalét independiente;Valdenoja;Valdenoja;Santander;1495000;;;sí;5;462;;desconocido;desconocido;0
164;Inmobiliaria PAS-NuevoPiso;piso;;Calle Lauro Fernández González;Alisal - Cazoña - San Román;Santander;349000;;;sí;3;92;1;sí;sí;0
165;Inmobiliaria las Dunas;piso;;Calle Jorge Sepúlveda;Monte;Santander;379000;;;sí;2;80;1;sí;sí;0
166;Inmobiliaria Barrio;piso;;Numancia - San Fernando;Numancia - San Fernando;Santander;165000;;;desconocido;3;66;5;desconocido;no;0
167;RK IDEPISOS;piso;;Calle Río de la Pila;General Dávila;Santander;135000;;;desconocido;1;34;5;sí;no;0
168;Inmobiliaria PAS-NuevoPiso;piso;;Calle la Amistad;General Dávila;Santander;164000;;;desconocido;3;60;5;sí;no;0
169;Inmobiliaria PAS-NuevoPiso;piso;;Calle Francisco Palazuelos;General Dávila;Santander;169900;;;desconocido;3;61;2;sí;no;0
170;Inmobiliaria PAS-NuevoPiso;piso;;Calle Casimiro Sainz;Inmobiliaria - Barreda;Torrelavega;134000;;;desconocido;3;96;2;sí;sí;0
171;Inmobiliarias San Fernando;piso;;Calle Francisco Tomás y Valiente;Peñacastillo - Nuevamontaña;Santander;260000;;;sí;3;89;1;sí;sí;0
172;Gestion inmobiliaria Victoria;casa;chalét independiente;Samano;Sámano;Castro-Urdiales;435000;;;desconocido;4;191;;desconocido;desconocido;0
173;CHOMON (Margen Izquierda);piso;;Calle de San Juan;Ris;Noja;245000;;;desconocido;3;90;1;sí;no;0
174;Inmobiliaria Uranga;piso;;Calle Gutiérrez Rada;Centro;Laredo;175000;;;desconocido;2;89;bajo;sí;no;0
175;Inmobiliaria Uranga;piso;;Barrio Oriñón;Oriñón-Allendagua;Castro-Urdiales;195000;;;sí;2;70;3;sí;sí;0
176;Inmonojasol s.l;piso;;Calle Castrejón;Ris;Noja;210000;;;desconocido;2;65;1;sí;no;0
177;Inmonojasol s.l;piso;;Avenida Ris;Ris;Noja;235000;;;desconocido;2;74;bajo;sí;sí;0
178;Inmonojasol s.l;piso;;Calle Victoria;Tregadín;Noja;240000;;;sí;2;60;bajo;sí;no;0
179;Inmonojasol s.l;piso;;Calle Los Pinares;Ris;Noja;220000;;;sí;2;60;2;sí;no;0
180;ACERO Inmobiliaria;dúplex;;Calle Manuel González Hoyos;Valdenoja;Santander;930000;;;sí;4;192;4;sí;sí;0
181;Inmonojasol s.l;piso;;Calle Padre Pedro López;Tregadín;Noja;185000;;;desconocido;2;60;2;sí;no;0
182;Básico Homes;piso;;Calle Hermanos Calderón;Peñacastillo - Nuevamontaña;Santander;243000;;;sí;3;87;1;sí;sí;0
183;Inmonojasol s.l;piso;;Avenida Ris;Ris;Noja;269000;;;sí;3;75;4;sí;sí;0
184;Gestion inmobiliaria Victoria;casa;chalét independiente;Samano;Sámano;Castro-Urdiales;950000;;;sí;6;418;;desconocido;desconocido;0
185;Gestion inmobiliaria Victoria;piso;;Playa Ostende;Playa Ostende;Castro-Urdiales;350000;;;no;2;98;2;sí;sí;0
186;Distrito inmobiliario;casa;chalét independiente;Calle Luis Martínez;El Sardinero;Santander;2900000;;;sí;5;391;;desconocido;desconocido;0
187;Gestion inmobiliaria Victoria;casa;casa de pueblo;Mioño-Santullán;Mioño-Santullán;Castro-Urdiales;280000;;;no;4;180;;desconocido;desconocido;0
188;Estudio Barakaldo;casa;chalét independiente;Oriñón-Allendagua;Islares;Castro-Urdiales;619900;;;no;6;320;;desconocido;desconocido;0
189;ACERO Inmobiliaria;piso;apartamento;Urbanización Ría del Pas;Boo;Piélagos;190000;;;no;2;70;1;sí;sí;0
190;RUBIO INMOBILIARIA;casa;casa independiente;Barrio Las Carcobas;El Callejo - La Pesquera - La Arenosa;Laredo;460000;;;sí;3;295;;desconocido;desconocido;0
191;Inmobiliarias San Fernando;piso;;Calle San Celedonio;General Dávila;Santander;279000;;;no;3;78;3;sí;sí;0
192;ACERO Inmobiliaria;piso;;Avenida de Valdecilla;Cuatro Caminos;Santander;490000;;;sí;5;141;7;sí;sí;0
193;THE SIBARIST Property & Homes Cantabria;casa;chalét independiente;Liencres;Liencres;Piélagos;1700000;;;sí;4;220;;desconocido;desconocido;0
