fuente,tipo_inmueble,subtipo,direccion_texto,barrio_zona,municipio,precio_eur,garaje_incluido,habitaciones,superficie_m2,planta,exterior,ascensor,finca
Inmobiliaria Barrio,casa,casa independiente,Valdenoja,Valdenoja,Santander,649000.0,1.0,4.0,128.0,0.0,,,0
Inmobiliarias.com,casa,casa adosada,"Onton, s/n",Baltezana-Ontón,Castro-Urdiales,299999.0,,4.0,201.0,0.0,,,0
Inmobiliaria E-Castro,piso,apartamento,"Calle el Sable, 8",Playa Ostende,Castro-Urdiales,400000.0,,2.0,76.0,1.0,1.0,1.0,0
Inmobiliaria Barrio,casa,casa independiente,Alisal - Cazoña - San Román,Alisal - Cazoña - San Román,Santander,890000.0,1.0,4.0,261.0,0.0,,,0
Inmobiliaria E-Castro,piso,apartamento,Paseo Ocharan Mazas,Centro,Castro-Urdiales,425000.0,,1.0,103.0,4.0,1.0,1.0,0
Inmobiliaria E-Castro,piso,apartamento,"Calle el Hoyo, 5",Playa Ostende,Castro-Urdiales,295000.0,1.0,3.0,88.0,1.0,1.0,1.0,0
Inmobiliaria E-Castro,casa,casa independiente,"Calle Aureliano Linares Rivas, 17",Centro,Castro-Urdiales,715000.0,1.0,7.0,550.0,0.0,,,0
Inmobiliarias.com,casa,casa independiente,Carretera mioño,Mioño-Santullán,Castro-Urdiales,360000.0,,3.0,160.0,0.0,,,0
Inmobiliarias.com,dúplex,,Menendez Pelayo,Brazomar,Castro-Urdiales,465000.0,1.0,5.0,180.0,5.0,1.0,1.0,0
Inmobiliarias.com,casa,casa adosada,Barrio de Santullán,Mioño-Santullán,Castro-Urdiales,370000.0,1.0,3.0,203.0,0.0,,,0
Inmobiliaria E-Castro,dúplex,,"Calle San Andrés, 8",Cotolino,Castro-Urdiales,300000.0,1.0,2.0,108.0,1.0,1.0,1.0,0
Inmobiliaria E-Castro,piso,apartamento,Calle Santander,Centro,Castro-Urdiales,260000.0,,3.0,84.0,1.0,1.0,0.0,0
Inmobiliarias.com,casa,casa independiente,Barrio Otañes,Otañes,Castro-Urdiales,330000.0,1.0,4.0,200.0,0.0,,,0
Inmobiliarias.com,piso,ático,Calle de Silvestre Ochoa,Playa Ostende,Castro-Urdiales,299800.0,1.0,2.0,65.0,4.0,1.0,1.0,0
Inmobiliarias.com,casa,casa adosada,Barrio Sámano,Sámano,Castro-Urdiales,415000.0,1.0,4.0,260.0,0.0,,,0
Inmobiliarias.com,piso,apartamento,Calle Venancio Bosco,Centro,Castro-Urdiales,295000.0,1.0,2.0,79.0,1.0,1.0,1.0,0
Inmobiliarias.com,piso,apartamento,"Calle de la Ronda, 3",Centro,Castro-Urdiales,295000.0,,3.0,104.0,1.0,1.0,1.0,0
Inmobiliarias.com,casa,casa adosada,Subida a Cueto,Mioño-Santullán,Castro-Urdiales,360000.0,1.0,4.0,220.0,0.0,,,0
Inmobiliaria E-Castro,casa,casa adosada,"Barrio Otañes, 77",Otañes,Castro-Urdiales,293000.0,1.0,3.0,163.0,0.0,,,0
ACERO Inmobiliaria,casa,casa independiente,Pozo barrio el,Boo,Piélagos,470000.0,1.0,4.0,263.0,0.0,,,0
Inmobiliarias.com,casa,casa independiente,Ca-520,Sámano,Castro-Urdiales,540000.0,1.0,5.0,316.0,0.0,,,0
Inmobiliarias.com,piso,apartamento,Barrio Oriñón,Oriñón-Allendagua,Castro-Urdiales,195000.0,1.0,2.0,70.0,3.0,1.0,1.0,0
Inmobiliaria E-Castro,piso,apartamento,Calle la Rúa,Centro,Castro-Urdiales,160000.0,,4.0,143.0,2.0,1.0,0.0,0
Inmobiliarias.com,dúplex,,Calle San Andrés,Cotolino,Castro-Urdiales,300000.0,1.0,2.0,108.0,1.0,1.0,1.0,0
Inmobiliarias.com,casa,casa adosada,Avenida de Chinchapapa,Cotolino,Castro-Urdiales,980000.0,1.0,5.0,448.0,0.0,,,0
Inmobiliarias.com,piso,apartamento,Calle Ataúlfo Argenta,Cotolino,Castro-Urdiales,240000.0,,2.0,72.0,0.0,1.0,1.0,0
Inmobiliarias.com,dúplex,,Paseo Menéndez Pelayo,Brazomar,Castro-Urdiales,210000.0,,2.0,101.0,2.0,1.0,0.0,0
Inmobiliarias.com,piso,apartamento,Calle Padre Basabe,Playa Ostende,Castro-Urdiales,350000.0,,2.0,87.0,2.0,1.0,1.0,0
Inmobiliarias.com,piso,apartamento,Calle el Hoyo,Playa Ostende,Castro-Urdiales,295000.0,1.0,3.0,90.0,1.0,1.0,1.0,0
Inmobiliarias.com,casa,casa adosada,Calle de Montecerredo,Brazomar,Castro-Urdiales,550000.0,1.0,4.0,260.0,0.0,,,0
Gestion inmobiliaria Victoria,piso,ático,Calle Miguel de Cervantes,Brazomar,Castro-Urdiales,280000.0,1.0,2.0,70.0,4.0,1.0,1.0,0
Inmobiliarias.com,piso,apartamento,Calle Los Caserios,Centro,Castro-Urdiales,250000.0,1.0,1.0,60.0,5.0,1.0,1.0,0
Inmobiliarias.com,piso,ático,Calle Santa Ana,Playa Ostende,Castro-Urdiales,336000.0,1.0,3.0,130.0,3.0,1.0,1.0,0
Inmobiliarias.com,piso,apartamento,Calle Bajada del Chorrillo,Centro,Castro-Urdiales,299000.0,,3.0,90.0,2.0,1.0,1.0,0
Inmobiliarias.com,casa,casa adosada,Barrio Islares,Oriñón-Allendagua,Castro-Urdiales,225000.0,1.0,2.0,130.0,0.0,,,0
Inmobiliarias.com,casa,casa adosada,Barrio Brazomar,Cotolino,Castro-Urdiales,615000.0,1.0,3.0,250.0,0.0,,,0
Inmobiliarias.com,piso,apartamento,Barrio Brazomar,Brazomar,Castro-Urdiales,299000.0,,2.0,65.0,0.0,1.0,1.0,0
Gestion inmobiliaria Victoria,piso,apartamento,Playa Ostende,Playa Ostende,Castro-Urdiales,350000.0,1.0,3.0,112.0,0.0,1.0,1.0,0
Inmobiliaria JC de Laredo,casa,casa independiente,El Puntal,El Puntal,Laredo,550000.0,,4.0,250.0,0.0,,,0
Inmobiliaria E-Castro,casa,casa de piedra,"Barrio Allendelagua, 30",Oriñón-Allendagua,Castro-Urdiales,240000.0,,4.0,234.0,0.0,,,0
Exclusivas inmobiliarias mikeli,piso,apartamento,Bajada de la Encina,El Sardinero,Santander,790000.0,1.0,4.0,141.0,2.0,1.0,1.0,0
Exclusivas inmobiliarias mikeli,piso,apartamento,Calle Bonifaz,Puerto Chico,Santander,385000.0,,2.0,80.0,5.0,1.0,0.0,0
Inmobiliaria JC de Laredo,piso,ático,Avenida los Caleros,Ris,Noja,350000.0,,3.0,90.0,4.0,1.0,1.0,0
Deluxe,piso,apartamento,El Sardinero,El Sardinero,Santander,925000.0,,3.0,133.0,6.0,1.0,1.0,0
Inmobiliaria JC de Laredo,dúplex,,Calle Emperador,Centro,Laredo,299000.0,,3.0,115.0,3.0,1.0,1.0,0
Inmobiliarias.com,piso,apartamento,Barrio Oriñón,Oriñón-Allendagua,Castro-Urdiales,199900.0,1.0,2.0,71.0,1.0,1.0,1.0,0
Inmobiliarias.com,casa,casa adosada,Barrio Otañes,Mioño-Santullán,Castro-Urdiales,275000.0,1.0,3.0,115.0,0.0,,,0
MiPiso.com,piso,apartamento,"Francia, 18",Zona Playa,Laredo,490000.0,,4.0,108.0,5.0,1.0,1.0,0
