codigo_inmueble,precio,superficie_construida_m2,numero_dormitorios,numero_banos,tipologia,subtipologia,provincia,municipio,distrito,latitud,longitud,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km
110692102,170000.0,82.0,2,2,flat,,Cantabria,Barcena de Cicero,,43.3935275,-3.4768914,2,True,True,True,False,3.509,0.277,1.629
110688445,352000.0,75.0,2,1,flat,,Cantabria,Laredo,Centro,43.4140072,-3.4131492,2,True,True,,False,2.613,0.168,0.218
110685842,352000.0,70.0,3,1,flat,,Cantabria,Laredo,Centro,43.413944,-3.4135654,2,True,True,,False,2.647,0.144,0.199
110685421,141000.0,75.0,3,1,flat,,Cantabria,Santoña,,43.4393918,-3.4560175,2,True,True,,False,0.071,0.178,0.146
110682698,173000.0,82.0,2,2,flat,,Cantabria,Barcena de Cicero,,43.3933891,-3.4710414,3,True,True,,False,3.3,0.203,1.182
110677633,142000.0,71.0,2,1,flat,duplex,Cantabria,Limpias,,43.3608937,-3.4200338,2,True,True,True,False,6.811,1.998,0.089
110675663,360000.0,199.0,5,2,chalet,terracedHouse,Cantabria,Laredo,Zona Playa,43.41751,-3.4462205,,,,True,False,0.668,0.235,1.252
110657313,173000.0,73.0,2,2,flat,,Cantabria,Barcena de Cicero,,43.3931135,-3.473316,3,True,True,,False,3.407,0.016,1.365
110657031,173000.0,73.0,2,2,flat,,Cantabria,Barcena de Cicero,,43.3931135,-3.473316,3,True,True,,False,3.407,0.016,1.365
110656588,190000.0,70.0,2,1,flat,,Cantabria,Laredo,Zona Playa,43.415158,-3.4368442,3,True,True,True,False,1.067,0.66,0.606
110655487,230000.0,86.0,3,2,flat,,Cantabria,Santoña,,43.4439251,-3.4558374,4,True,True,,False,0.517,0.091,0.09
110651134,176000.0,82.0,2,2,flat,,Cantabria,Barcena de Cicero,,43.3899416,-3.4685524,2,True,True,True,False,3.581,0.532,1.209
110649179,199900.0,80.0,2,1,flat,,Cantabria,Colindres,,43.3934854,-3.45131,1,True,True,,False,3.0,0.1,0.097
110637372,220000.0,87.0,2,1,flat,,Cantabria,Laredo,Centro,43.4121533,-3.4087282,2,True,False,,False,2.277,0.464,0.445
110334217,367000.0,113.0,2,2,flat,duplex,Cantabria,Santander,Peñacastillo - Nuevamontaña,43.4454843,-3.8621386,5,True,True,True,False,3.394,0.634,0.188
108855152,965000.0,380.0,4,2,chalet,independantHouse,Cantabria,Piélagos,Liencres,43.4664026,-3.9302138,,,,True,False,0.399,0.593,0.475
110326878,259000.0,356.0,4,1,chalet,independantHouse,Cantabria,Santa Cruz de Bezana,Maoño,43.4293011,-3.9049289,,,,,False,4.833,0.826,1.139
110323323,295000.0,85.0,3,2,flat,,Cantabria,Santander,Peñacastillo - Nuevamontaña,43.4417508,-3.8537677,2,True,True,True,True,3.927,0.128,0.468
110315291,891000.0,315.0,3,3,chalet,independantHouse,Cantabria,Santander,Peñacastillo - Nuevamontaña,43.4513385,-3.8709746,,,,True,False,2.75,1.048,0.245
110314203,260000.0,126.0,2,2,chalet,independantHouse,Cantabria,Camargo,Cacicedo,43.4346054,-3.8695365,,,,True,False,4.593,0.681,0.26
110313919,280000.0,199.0,3,1,chalet,independantHouse,Cantabria,Santa Cruz de Bezana,Soto de la Marina,43.4678773,-3.9008881,,,,,False,0.89,2.03,0.223
109841201,290000.0,74.0,3,2,flat,,Cantabria,Piélagos,Mortera,43.442818,-3.9300346,bj,True,True,True,True,2.767,1.671,1.393
109840989,315000.0,72.0,3,2,flat,,Cantabria,Piélagos,Mortera,43.442818,-3.9300346,bj,True,True,True,True,2.767,1.671,1.393
109840293,315000.0,74.0,3,2,flat,,Cantabria,Piélagos,Mortera,43.442818,-3.9300346,bj,True,True,True,True,2.767,1.671,1.393
