tipo_operacion,precio,superficie_construida_m2,numero_dormitorios,numero_banos,tipologia,subtipologia,provincia,municipio,distrito,latitud,longitud,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km
venta,660000.0,130.0,2,2,flat,desconocido,Cantabria,Santander,General Dávila,43.4681208,-3.7946617,1,True,True,False,False,0.94,0.225,0.212
venta,239000.0,66.0,2,1,flat,desconocido,Cantabria,El Astillero,desconocido,43.3996513,-3.8216594,bj,True,True,True,False,2.594,0.073,0.125
venta,210000.0,56.0,2,1,flat,desconocido,Cantabria,Santander,Numancia - San Fernando,43.4610426,-3.8163314,2,True,True,False,False,2.482,0.083,0.122
venta,199000.0,75.0,3,1,flat,desconocido,Cantabria,Santander,Cuatro Caminos,43.4570468,-3.8266803,1,True,True,False,False,2.634,0.238,0.159
venta,198000.0,69.0,2,1,flat,desconocido,Cantabria,Santander,General Dávila,43.4625304,-3.8163575,1,True,True,False,False,2.477,0.029,0.088
venta,215000.0,57.0,2,1,flat,desconocido,Cantabria,Santander,General Dávila,43.4672197,-3.7990952,bj,True,False,False,False,1.192,0.222,0.047
venta,295000.0,76.0,2,1,flat,desconocido,Cantabria,Santander,General Dávila,43.4664734,-3.7886052,2,True,False,False,False,0.477,0.122,0.116
venta,129900.0,89.0,3,1,flat,desconocido,Cantabria,Santander,General Dávila,43.4629706,-3.8132852,1,True,False,False,False,2.229,0.111,0.301
venta,292000.0,71.0,2,2,flat,desconocido,Cantabria,Santander,Peñacastillo - Nuevamontaña,43.4400467,-3.8433131,6,True,True,True,False,3.37,0.122,0.178
venta,287000.0,114.0,4,1,chalet,desconocido,Cantabria,El Astillero,desconocido,43.4030909,-3.8386242,desconocido,False,False,False,False,3.067,0.192,0.185
venta,280000.0,73.0,3,1,flat,desconocido,Cantabria,Mogro,desconocido,43.4379877,-3.9697761,bj,True,False,True,False,0.224,1.223,0.76
venta,319000.0,83.0,3,1,flat,desconocido,Cantabria,Santander,Cuatro Caminos,43.4597047,-3.8267278,2,True,True,True,False,2.353,0.069,0.252
venta,415000.0,130.0,4,2,flat,desconocido,Cantabria,Santander,Cuatro Caminos,43.4612105,-3.8280046,1,True,True,False,False,2.161,0.217,0.127
venta,150000.0,73.0,3,1,flat,desconocido,Cantabria,Santander,General Dávila,43.4653257,-3.8078513,2,True,False,False,False,1.813,0.096,0.118
venta,355000.0,186.0,3,2,chalet,terracedHouse,Cantabria,Cudon,desconocido,43.4095484,-4.0138281,desconocido,False,False,True,False,2.646,2.025,2.325
venta,250000.0,78.0,2,1,flat,desconocido,Cantabria,Santander,Castilla - Hermida,43.4564558,-3.8109263,3,True,True,False,False,2.156,0.235,0.126
venta,290000.0,101.0,3,1,flat,desconocido,Cantabria,Santander,Numancia - San Fernando,43.4609208,-3.8181252,3,True,False,False,False,2.554,0.095,0.104
venta,250000.0,54.0,2,1,chalet,independantHouse,Cantabria,Camargo,Igollo,43.433411,-3.8920698,desconocido,False,False,False,False,4.378,0.682,1.311
venta,485000.0,105.0,3,2,flat,desconocido,Cantabria,Santander,Monte,43.4703254,-3.8263768,bj,True,True,True,False,1.317,0.214,0.326
venta,340000.0,50.0,1,1,flat,desconocido,Cantabria,Santander,Puerto Chico,43.4649022,-3.7915989,5,True,True,False,False,0.535,0.05,0.036
venta,124500.0,186.0,3,3,chalet,desconocido,Cantabria,Polanco,desconocido,43.3971497,-4.008377,desconocido,False,False,False,False,4.02,1.171,1.292
venta,247000.0,80.0,3,1,flat,desconocido,Cantabria,Santander,Castilla - Hermida,43.4546685,-3.8190044,1,True,True,False,False,2.837,0.031,0.257
venta,295000.0,105.0,3,1,flat,desconocido,Cantabria,Santander,Los Castros,43.4594066,-3.8332867,2,True,False,True,False,2.24,0.374,0.436
venta,298000.0,59.0,1,1,flat,desconocido,Cantabria,Santander,Valdenoja,43.4807103,-3.8000598,1,True,True,True,False,1.107,0.07,0.19
venta,325000.0,100.0,3,1,flat,desconocido,Cantabria,Santander,Numancia - San Fernando,43.4617453,-3.8194973,5,False,True,False,False,2.415,0.116,0.145
venta,385000.0,200.0,4,2,chalet,desconocido,Cantabria,Santander,Alisal - Cazoña - San Román,43.4547468,-3.8573962,desconocido,False,False,True,False,2.457,0.344,0.419
venta,360000.0,300.0,5,2,chalet,independantHouse,Cantabria,Santander,Peñacastillo - Nuevamontaña,43.4397978,-3.8576164,desconocido,False,False,False,False,4.071,0.402,0.546
venta,425000.0,133.0,4,2,flat,desconocido,Cantabria,Santander,Centro - Ayuntamiento,43.4594608,-3.8071718,1,True,True,False,False,1.774,0.217,0.346
venta,175000.0,48.0,1,1,flat,desconocido,Cantabria,Santander,Numancia - San Fernando,43.4611773,-3.8168976,4,True,False,False,False,2.527,0.094,0.079
venta,315000.0,77.0,2,1,flat,desconocido,Cantabria,Santander,General Dávila,43.4668563,-3.7875147,10,True,True,True,False,0.48,0.218,0.086
venta,310000.0,71.0,2,2,flat,desconocido,Cantabria,Santander,Puerto Chico,43.4661085,-3.7879589,4,True,False,False,False,0.416,0.172,0.152
venta,175000.0,80.0,4,1,flat,desconocido,Cantabria,Santander,Centro - Ayuntamiento,43.4637115,-3.8149774,4,True,False,False,False,2.368,0.089,0.227
venta,290000.0,90.0,2,1,flat,desconocido,Cantabria,Santander,Castilla - Hermida,43.4579292,-3.8115923,3,True,True,False,False,2.16,0.184,0.083
venta,325000.0,93.0,2,2,flat,desconocido,Cantabria,Santa Cruz de Bezana,Sancibrián,43.4632231,-3.8796274,bj,True,True,True,True,1.468,0.353,0.565
venta,240000.0,83.0,3,2,flat,desconocido,Cantabria,Suances,desconocido,43.4258435,-4.0482928,3,True,False,True,False,1.085,0.614,0.405
venta,175000.0,63.0,3,1,flat,desconocido,Cantabria,Santander,General Dávila,43.4642329,-3.8161686,5,True,False,False,False,2.37,0.161,0.193
venta,170000.0,105.0,3,1,flat,desconocido,Cantabria,El Astillero,desconocido,43.3959869,-3.8199142,2,True,False,False,False,2.939,0.206,0.314
venta,650000.0,72.0,2,2,flat,desconocido,Cantabria,Santander,El Sardinero,43.4760717,-3.7864019,1,True,True,True,False,0.152,0.355,0.433
venta,950000.0,133.0,4,2,flat,desconocido,Cantabria,Santander,Puerto Chico,43.4616091,-3.7976995,3,True,True,False,False,0.98,0.182,0.239
venta,175000.0,48.0,1,1,flat,desconocido,Cantabria,Santander,Numancia - San Fernando,43.4635536,-3.8165872,4,True,False,False,False,2.402,0.086,0.112
venta,240000.0,107.0,4,2,flat,desconocido,Cantabria,Santander,Castilla - Hermida,43.4519785,-3.8231836,1,True,True,False,False,3.257,0.306,0.229
venta,74900.0,71.0,2,1,flat,desconocido,Cantabria,Santander,Castilla - Hermida,43.4510023,-3.8225718,bj,True,False,False,False,3.253,0.384,0.347
venta,950000.0,133.0,4,2,flat,desconocido,Cantabria,Santander,Puerto Chico,43.4632465,-3.7991208,3,True,True,False,False,1.087,0.086,0.025
venta,500000.0,99.0,2,1,flat,penthouse,Cantabria,Santander,General Dávila,43.4662359,-3.8060458,6,True,True,True,False,1.69,0.019,0.185
venta,425000.0,110.0,3,2,chalet,independantHouse,Cantabria,Piélagos,Arce,43.4145661,-3.9463501,desconocido,False,False,False,False,3.407,0.12,0.263
venta,395000.0,181.0,4,4,chalet,semidetachedHouse,Cantabria,Camargo,Herrera,43.42413,-3.8641145,desconocido,False,False,True,False,4.354,0.644,0.678
venta,360000.0,180.0,4,3,chalet,terracedHouse,Cantabria,Piélagos,Vioño,43.3571308,-3.9778664,desconocido,False,False,True,False,8.812,1.64,0.777
venta,359000.0,242.0,5,2,chalet,semidetachedHouse,Cantabria,Camargo,Herrera,43.42946,-3.86561,desconocido,False,False,True,False,4.552,0.803,0.707
venta,320000.0,482.0,4,5,chalet,independantHouse,Cantabria,Camargo,Escobedo,43.4012687,-3.9037553,desconocido,False,False,True,False,6.93,3.134,0.311
venta,187883.0,137.0,4,3,flat,desconocido,Cantabria,El Astillero,desconocido,43.3928776,-3.8159227,4,False,False,False,False,3.212,0.11,0.699
venta,650000.0,75.0,2,2,flat,desconocido,Cantabria,Santander,El Sardinero,43.4746204,-3.7858204,1,True,True,True,False,0.319,0.286,0.274
venta,245000.0,65.0,2,1,flat,desconocido,Cantabria,Santander,Numancia - San Fernando,43.459214,-3.8185797,11,True,True,False,False,2.686,0.111,0.248
venta,245000.0,78.0,2,2,flat,desconocido,Cantabria,Santander,Cuatro Caminos,43.4605293,-3.825448,7,False,True,False,False,2.304,0.108,0.215
venta,1760000.0,220.0,4,3,flat,desconocido,Cantabria,Santander,El Sardinero,43.4804273,-3.7898748,6,True,True,True,False,0.409,0.22,0.361
venta,235000.0,125.0,4,4,flat,desconocido,Cantabria,Piélagos,Liencres,43.4608582,-3.9312803,bj,True,False,False,False,1.0,0.121,0.323
venta,887000.0,214.0,4,4,flat,duplex,Cantabria,Santander,Valdenoja,43.481364,-3.7929016,4,True,True,True,False,0.646,0.429,0.14
venta,1100000.0,210.0,6,4,flat,desconocido,Cantabria,Santander,Castilla - Hermida,43.459286,-3.8103269,desconocido,True,True,False,False,2.027,0.063,0.193
venta,299000.0,226.0,4,2,chalet,independantHouse,Cantabria,Camargo,Cacicedo,43.4311348,-3.8714906,desconocido,False,False,True,False,4.923,1.098,0.273
venta,162900.0,146.0,3,2,chalet,terracedHouse,Cantabria,Camargo,Revilla,43.4114347,-3.8522173,desconocido,False,False,False,False,3.563,0.797,0.316
venta,145000.0,70.0,3,1,flat,desconocido,Cantabria,Torrelavega,Inmobiliaria - Barreda,43.3686799,-4.042222,bj,True,False,False,False,6.583,0.188,0.288
venta,395000.0,300.0,4,5,chalet,terracedHouse,Cantabria,Polanco,desconocido,43.3856604,-4.0327732,desconocido,False,False,True,False,4.673,1.185,0.357
venta,110000.0,51.0,2,1,flat,desconocido,Cantabria,Torrelavega,Inmobiliaria - Barreda,43.3552707,-4.0448322,1,True,False,False,False,8.087,0.169,0.037
venta,75000.0,65.0,3,1,flat,desconocido,Cantabria,Torrelavega,Inmobiliaria - Barreda,43.3649206,-4.0434701,bj,True,False,False,False,7.008,0.259,0.103
venta,350000.0,324.0,4,2,chalet,independantHouse,Cantabria,Polanco,desconocido,43.3775759,-4.0366237,desconocido,False,False,True,False,5.57,1.26,1.227
venta,49000.0,50.0,0,0,countryHouse,casale,Cantabria,Torrelavega,Inmobiliaria - Barreda,43.3680287,-4.0338247,desconocido,False,False,False,False,6.631,0.824,0.752
venta,260000.0,100.0,2,2,chalet,independantHouse,Cantabria,Suances,desconocido,43.4091127,-4.0777707,desconocido,False,False,True,False,2.411,1.636,2.853
venta,114000.0,98.0,3,1,chalet,semidetachedHouse,Cantabria,Torrelavega,Cerezo - Aspla - Torres,43.3626759,-4.0598022,desconocido,False,False,False,False,7.496,0.53,0.612
venta,545000.0,180.0,4,3,chalet,independantHouse,Cantabria,Suances,desconocido,43.3993234,-4.0500413,desconocido,False,False,False,False,3.374,2.471,0.55
venta,370000.0,232.0,4,3,chalet,semidetachedHouse,Cantabria,Polanco,desconocido,43.3811449,-4.0358263,desconocido,False,False,True,False,5.172,1.645,0.867
